idx,kind,start,end,dur,peak_db,p90_db,med_db,snr_peak,silero_peak,silero_mean,flatness,never_decoded_frac,gap_prev,gap_next,asr_text,asr_nsp,asr_lp,text_class,verdict,clip,label,grp
106,empty,240.215,240.65,0.435,13.3,3.4,-14.2,45.7,1.0,0.69,0.097,0.0,0.42,0.6,ん,0.0,-0.98,filler,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
107,empty,241.255,241.69,0.435,-2.8,-9.0,-24.1,29.0,0.77,0.18,0.086,0.0,0.6,0.28,おわり,0.0,-1.49,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
108,empty,255.995,257.0,1.005,3.3,0.7,-13.0,40.8,0.78,0.15,0.032,0.0,2.48,0.34,あん,0.0,-1.37,filler,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
109,empty,266.935,267.74,0.805,-6.1,-20.5,-53.4,59.7,0.8,0.17,0.056,0.0,0.62,1.25,はい。,0.0,-1.37,filler,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
110,empty,268.995,269.61,0.615,-39.8,-46.1,-56.8,33.8,0.02,0.01,0.04,0.0,1.25,1.02,おわり,0.0,-1.29,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
111,empty,275.755,276.7,0.945,-5.9,-25.2,-64.3,69.9,0.13,0.02,0.071,0.0,0.77,0.48,ご視聴ありがとうございました,0.0,-0.33,hallucination,jitter_silero,BV1cqLR6hEp3,噪声/抖动,F 抖动抽查
112,empty,291.265,292.98,1.715,-6.5,-10.7,-17.2,43.9,0.67,0.1,0.099,0.0,0.59,0.63,おわり,0.0,-1.57,real,real,BV1cqLR6hEp3,噪声/抖动,D empty有文本
115,empty,330.415,331.55,1.135,-14.5,-22.0,-28.7,37.2,0.04,0.01,0.137,0.0,1.17,0.4,おわり,0.0,-1.09,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
116,empty,386.025,387.95,1.925,4.8,-7.8,-17.8,43.7,0.99,0.44,0.065,0.0,0.08,0.05,あん,0.0,-1.44,filler,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
118,empty,408.875,409.2,0.325,10.4,6.9,-11.2,34.9,0.93,0.41,0.053,0.0,0.87,0.14,あ!,0.0,-1.27,filler,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
119,empty,409.345,412.05,2.705,14.3,9.7,-4.9,37.8,0.96,0.45,0.042,0.0,0.14,0.09,ごめん,0.0,-1.53,real,real,BV1cqLR6hEp3,语气词,D empty有文本
120,empty,412.135,413.08,0.945,12.9,1.0,-5.4,34.3,0.82,0.38,0.057,0.0,0.09,0.92,んんん,0.0,-1.64,hallucination,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
121,empty,422.145,425.79,3.645,18.7,9.3,-0.0,62.2,1.0,0.75,0.034,0.0,0.46,0.76,あははは,0.0,-1.12,filler,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
124,empty,502.045,502.94,0.895,-1.9,-4.9,-9.7,37.6,0.12,0.06,0.006,0.0,0.4,0.84,ありがとうございました。,0.0,-1.19,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
125,empty,527.855,528.77,0.915,-14.6,-30.6,-41.5,53.0,0.01,0.0,0.062,0.0,2.47,0.14,ご視聴ありがとうございました,0.0,-0.3,hallucination,jitter_silero,BV1cqLR6hEp3,噪声/抖动,F 抖动抽查
126,empty,528.905,530.17,1.265,-28.7,-32.9,-42.6,37.6,0.0,0.0,0.007,0.0,0.14,0.12,ご視聴ありがとうございました,0.0,-0.17,hallucination,jitter_silero,BV1cqLR6hEp3,噪声/抖动,F 抖动抽查
7,added,296.04,296.425,0.385,-49.2,-54.6,-92.6,44.0,0.97,0.11,0.51,0.0,0.0,0.0,ありがとうございました。,0.0,-1.14,real,real,kaguya60,语气词,C 新增已解码
10,added,335.35,335.585,0.235,-16.0,-23.3,-37.5,81.0,1.0,0.65,0.074,0.0,0.0,0.0,ありがとうございました。,0.0,-1.05,real,real,kaguya60,语气词,C 新增已解码
21,added,442.46,442.67,0.21,-29.4,-34.9,-100.0,67.8,0.59,0.17,0.512,0.0,0.0,0.35,ありがとうございました。,0.0,-1.11,real,real,kaguya60,语气词,C 新增已解码
45,added,949.64,949.77,0.13,-45.2,-47.6,-64.4,51.8,0.95,0.32,0.252,0.0,0.0,1.78,おわり,0.0,-1.25,real,real,kaguya60,语气词,C 新增已解码
57,added,1238.43,1238.85,0.42,-22.5,-27.7,-42.6,74.5,0.0,0.0,0.116,0.0,0.0,1.09,それではまた。,0.0,-1.24,real,real,kaguya60,语气词,C 新增已解码
93,added,2246.99,2247.11,0.12,-45.1,-47.9,-56.5,51.9,0.66,0.23,0.21,0.0,0.0,2.56,ありがとうございました。,0.0,-1.21,real,real,kaguya60,语气词,C 新增已解码
117,added,2878.0,2878.15,0.15,-47.8,-49.5,-56.3,49.2,0.76,0.2,0.207,0.0,0.0,0.08,おわり,0.0,-1.24,real,real,kaguya60,语气词,C 新增已解码
136,added,3366.43,3366.62,0.19,-25.3,-38.6,-63.6,71.7,0.09,0.04,0.214,0.0,0.0,1.01,それではまた。,0.0,-1.29,real,real,kaguya60,语气词,C 新增已解码
144,empty,15.855,17.81,1.955,-23.0,-25.7,-39.7,74.0,0.13,0.06,0.076,0.0,4.18,0.35,ご視聴ありがとうございました,0.0,-0.24,hallucination,jitter_silero,kaguya60,噪声/抖动,F 抖动抽查
146,empty,19.225,21.54,2.315,-24.3,-29.1,-42.7,72.7,0.11,0.05,0.088,0.0,0.74,0.12,ご視聴ありがとうございました,0.0,-0.24,hallucination,jitter_silero,kaguya60,噪声/抖动,F 抖动抽查
148,empty,47.215,48.04,0.825,-28.3,-34.5,-68.8,69.1,0.1,0.04,0.397,0.0,23.17,16.39,ご視聴ありがとうございました,0.0,-0.17,hallucination,jitter_silero,kaguya60,噪声/抖动,F 抖动抽查
150,empty,69.565,70.55,0.985,-27.7,-40.9,-61.3,69.5,0.03,0.01,0.202,0.0,4.58,1.31,ありがとうございました。,0.0,-1.06,real,real,kaguya60,幻觉,D empty有文本
155,empty,123.855,124.48,0.625,-41.5,-48.5,-100.0,56.1,0.03,0.0,0.578,0.0,12.06,0.08,ありがとうございました。,0.0,-1.25,real,real,kaguya60,幻觉,D empty有文本
156,empty,124.555,125.63,1.075,-38.6,-46.7,-68.0,58.7,0.02,0.01,0.378,0.0,0.08,1.58,おわり,0.0,-1.18,real,real,kaguya60,幻觉,D empty有文本
160,empty,180.005,181.26,1.255,-18.4,-23.0,-73.8,78.9,0.18,0.04,0.332,0.0,2.37,1.95,おわっ,0.0,-1.11,real,real,kaguya60,幻觉,D empty有文本
161,empty,183.215,184.04,0.825,-27.5,-37.2,-63.2,69.8,0.24,0.06,0.374,0.0,1.95,12.38,ありがとうございました。,0.0,-1.12,real,real,kaguya60,幻觉,D empty有文本
162,empty,196.425,198.44,2.015,-34.9,-40.3,-58.1,62.2,0.03,0.01,0.169,0.0,12.38,0.45,ご視聴ありがとうございました,0.0,-0.26,hallucination,jitter_silero,kaguya60,噪声/抖动,F 抖动抽查
170,empty,456.265,457.62,1.355,7.9,5.1,-28.4,104.9,1.0,0.86,0.111,0.0,0.41,0.62,よしよしよしよし,0.0,-0.29,hallucination,ambiguous,kaguya60,真语音,E empty待判
182,empty,810.335,810.96,0.625,6.1,4.6,-13.0,103.4,0.77,0.42,0.272,0.0,0.7,0.23,ん,0.0,-1.03,filler,ambiguous,kaguya60,语气词,E empty待判
185,empty,874.275,876.77,2.495,20.0,13.8,9.7,117.0,1.0,0.74,0.061,0.0,0.6,0.11,いやいやいやいやいやいや,0.0,-0.32,hallucination,ambiguous,kaguya60,真语音,E empty待判
187,empty,912.115,912.68,0.565,3.6,2.3,-39.9,101.0,0.99,0.53,0.294,0.0,9.02,0.27,ふえ。,0.0,-0.69,filler,ambiguous,kaguya60,真语音,E empty待判
191,empty,928.275,928.58,0.305,-53.7,-58.5,-100.0,44.1,0.01,0.0,0.609,0.0,3.39,0.18,ありがとうございました。,0.0,-1.11,real,real,kaguya60,幻觉,D empty有文本
196,empty,987.075,990.25,3.175,7.1,-15.7,-33.6,104.1,0.79,0.08,0.117,0.0,3.89,11.59,笑 笑,0.0,-1.38,real,real,kaguya60,语气词,D empty有文本
214,empty,1301.735,1302.62,0.885,5.8,-6.6,-45.0,102.9,0.93,0.18,0.165,0.0,0.58,2.0,はい。,0.0,-1.41,filler,ambiguous,kaguya60,语气词,E empty待判
228,empty,1563.385,1565.07,1.685,1.6,-7.9,-30.5,98.7,0.86,0.29,0.214,0.0,1.92,2.63,はい,0.0,-1.02,filler,ambiguous,kaguya60,语气词,E empty待判
234,empty,1752.035,1754.75,2.715,15.9,5.9,-34.1,112.9,1.0,0.36,0.109,0.0,9.53,3.3,ははははは,0.0,-1.47,hallucination,ambiguous,kaguya60,语气词,E empty待判
242,empty,1857.515,1857.82,0.305,-26.0,-39.3,-100.0,71.8,0.01,0.0,0.544,0.0,4.01,0.22,ありがとうございました。,0.0,-0.89,real,real,kaguya60,幻觉,D empty有文本
245,empty,1902.815,1903.48,0.665,-22.7,-25.6,-73.4,74.6,0.09,0.02,0.34,0.0,1.04,11.55,ご視聴ありがとうございました,0.0,-0.26,hallucination,jitter_silero,kaguya60,噪声/抖动,F 抖动抽查
252,empty,2113.765,2114.18,0.415,-53.5,-59.3,-84.9,44.0,0.0,0.0,0.533,0.0,3.98,2.5,おわり,0.0,-1.26,real,real,kaguya60,幻觉,D empty有文本
253,empty,2148.635,2149.03,0.395,-20.0,-24.5,-55.3,77.6,0.59,0.16,0.416,0.0,1.0,4.01,ご視聴ありがとうございました,0.0,-0.49,hallucination,ambiguous,kaguya60,幻觉,E empty待判
255,empty,2170.275,2170.78,0.505,-23.9,-28.1,-68.1,73.5,0.11,0.03,0.39,0.0,5.9,4.87,それではまた。,0.0,-1.3,real,real,kaguya60,幻觉,D empty有文本
260,empty,2218.175,2218.59,0.415,-36.9,-45.9,-84.0,60.6,0.0,0.0,0.484,0.0,0.42,4.33,おわり,0.0,-1.26,real,real,kaguya60,幻觉,D empty有文本
272,empty,2349.495,2349.83,0.335,-45.3,-50.1,-92.0,52.4,0.01,0.0,0.513,0.0,1.01,3.67,おわり,0.0,-1.24,real,real,kaguya60,幻觉,D empty有文本
279,empty,2502.385,2502.82,0.435,-31.4,-39.5,-100.0,66.1,0.03,0.01,0.537,0.0,0.66,0.66,ありがとうございました。,0.0,-1.1,real,real,kaguya60,幻觉,D empty有文本
284,empty,2554.995,2555.48,0.485,-26.7,-28.7,-49.0,70.8,0.02,0.01,0.33,0.0,4.97,6.09,ありがとうございました。,0.0,-1.04,real,real,kaguya60,幻觉,D empty有文本
293,empty,2731.525,2732.02,0.495,-13.4,-20.6,-60.1,84.0,0.24,0.05,0.346,0.0,1.31,0.33,はい。,0.0,-1.23,filler,ambiguous,kaguya60,听不清,E empty待判
297,empty,2940.245,2940.55,0.305,-46.8,-58.1,-99.6,50.9,0.0,0.0,0.631,0.0,11.3,0.28,ありがとうございました。,0.0,-1.15,real,real,kaguya60,幻觉,D empty有文本
302,empty,3037.565,3040.17,2.605,17.2,13.3,-17.1,114.2,1.0,0.47,0.068,0.0,0.61,0.33,んふふふふ,0.0,-1.25,filler,ambiguous,kaguya60,语气词,E empty待判
0,added,24.66,28.96,4.3,8.3,4.3,-0.8,38.5,1.0,0.64,0.008,0.84,0.0,0.49,でも全てが風に消えても,0.0,-0.36,real,real,yingtao,真语音,A 丢recall证据
4,added,51.74,53.965,2.225,0.6,-4.5,-10.7,68.5,0.99,0.08,0.017,0.69,0.0,0.0,おわり,0.0,-1.15,real,real,yingtao,听不清,A 丢recall证据
6,added,71.21,72.7,1.49,2.3,-0.5,-4.8,73.1,1.0,0.27,0.028,0.53,0.0,3.8,おわり!,0.0,-1.46,real,real,yingtao,听不清,A 丢recall证据
15,added,148.01,149.21,1.2,10.5,0.1,-5.5,45.4,0.99,0.33,0.008,0.42,0.0,0.45,え?,0.0,-1.01,filler,ambiguous,yingtao,听不清,B 新增未解码待判
17,added,192.55,192.69,0.14,0.4,-1.2,-7.3,21.8,1.0,0.99,0.031,0.0,0.0,0.96,では、,0.0,-1.4,real,real,yingtao,真语音,C 新增已解码
24,added,212.82,212.995,0.175,-8.5,-11.0,-13.6,56.2,0.97,0.7,0.013,0.0,0.0,0.0,ありがとうございました。,0.0,-1.39,real,real,yingtao,语气词,C 新增已解码
25,added,214.33,216.11,1.78,2.2,-3.9,-18.3,67.0,1.0,0.66,0.087,0.61,0.0,0.22,1月 奇跡,0.0,-0.5,real,real,yingtao,真语音,A 丢recall证据
32,added,248.76,249.755,0.995,-5.3,-9.0,-19.9,47.4,0.98,0.29,0.008,0.3,0.0,0.0,登下に立っていたもん,0.0,-0.97,real,real,yingtao,真语音,C 新增已解码
43,added,289.68,291.15,1.47,0.4,-2.0,-6.9,57.0,0.26,0.11,0.015,0.52,0.0,4.52,ご視聴ありがとうございました,0.0,-0.51,hallucination,ambiguous,yingtao,幻觉,B 新增未解码待判
51,added,361.34,362.435,1.095,-10.0,-16.4,-21.6,82.6,0.99,0.08,0.005,0.36,0.0,0.0,おわり,0.0,-1.25,real,real,yingtao,语气词,C 新增已解码
54,added,401.435,401.995,0.56,8.6,6.1,1.3,18.8,0.38,0.28,0.009,1.0,1.98,0.0,ご視聴ありがとうございました,0.0,-0.62,hallucination,ambiguous,yingtao,真语音,B 新增未解码待判
64,added,475.87,477.405,1.535,-29.6,-46.2,-52.1,55.8,0.02,0.0,0.175,0.54,0.0,0.0,ご視聴ありがとうございました,0.0,-0.26,hallucination,jitter_silero,yingtao,噪声/抖动,F 抖动抽查
86,added,640.15,641.605,1.455,-15.6,-21.8,-28.8,81.4,0.8,0.06,0.099,0.52,0.0,0.0,おわり,0.0,-1.15,real,real,yingtao,听不清,A 丢recall证据
98,added,719.65,722.59,2.94,4.0,0.3,-6.2,59.4,0.96,0.3,0.007,0.76,0.0,5.98,ハッハッ,0.0,-1.09,real,real,yingtao,语气词,A 丢recall证据
105,added,815.22,817.36,2.14,0.5,-7.1,-10.7,53.3,1.0,0.26,0.022,0.67,0.0,0.24,決してない,0.0,-0.38,real,real,yingtao,真语音,A 丢recall证据
106,added,820.09,820.255,0.165,-7.6,-10.3,-15.1,40.2,0.71,0.59,0.001,0.0,0.0,0.0,ご視聴ありがとうございました,0.0,-0.16,hallucination,ambiguous,yingtao,语气词,C 新增已解码
107,added,821.65,823.145,1.495,3.4,-5.2,-8.1,51.2,1.0,0.28,0.005,0.53,0.0,0.0,ティーダ,0.0,-0.9,real,real,yingtao,听不清,A 丢recall证据
108,added,823.59,825.595,2.005,10.6,6.2,-6.1,44.9,1.0,0.69,0.008,0.65,0.0,0.0,この空っぽの体は,0.0,-0.12,real,real,yingtao,真语音,A 丢recall证据
112,added,839.38,840.26,0.88,-18.9,-22.4,-40.1,78.1,0.11,0.02,0.055,0.2,0.0,1.96,ご視聴ありがとうございました,0.0,-0.17,hallucination,jitter_silero,yingtao,噪声/抖动,F 抖动抽查
125,added,909.96,910.41,0.45,-35.2,-61.1,-70.2,61.9,0.0,0.0,0.26,0.0,0.0,0.14,ありがとうございました。,0.0,-1.36,real,real,yingtao,语气词,C 新增已解码
133,added,935.08,936.69,1.61,-0.8,-6.5,-12.0,27.2,0.3,0.04,0.015,0.57,0.0,0.82,いいやろ,0.0,-0.57,real,real,yingtao,真语音,A 丢recall证据
137,added,950.91,951.3,0.39,-26.1,-35.0,-40.6,32.1,0.01,0.01,0.069,0.0,0.0,0.59,おわり,0.0,-1.14,real,real,yingtao,语气词,C 新增已解码
142,added,974.39,975.93,1.54,-9.1,-14.6,-36.9,87.6,0.75,0.08,0.047,0.55,0.0,0.26,ご視聴ありがとうございました,0.0,-0.14,hallucination,ambiguous,yingtao,真语音,B 新增未解码待判
148,added,993.22,994.45,1.23,1.2,-9.4,-27.2,68.7,1.0,0.18,0.008,0.43,0.0,3.41,ん?,0.0,-1.59,filler,ambiguous,yingtao,真语音,B 新增未解码待判
150,added,1002.97,1004.51,1.54,-3.9,-15.3,-34.0,93.1,0.99,0.08,0.03,0.55,0.0,0.77,ご視聴ありがとうございました,0.0,-0.14,hallucination,ambiguous,yingtao,听不清,B 新增未解码待判
156,added,1031.89,1033.64,1.75,-7.4,-10.0,-13.3,37.0,0.97,0.08,0.008,0.6,0.0,0.12,ああああああああ,0.0,-1.08,hallucination,ambiguous,yingtao,语气词,B 新增未解码待判
161,added,1062.95,1064.47,1.52,-8.7,-13.8,-17.9,24.9,1.0,0.09,0.002,0.54,0.0,1.13,ご視聴ありがとうございました,0.0,-0.16,hallucination,ambiguous,yingtao,幻觉,B 新增未解码待判
174,added,1175.19,1177.43,2.24,7.0,-0.8,-12.0,41.4,1.0,0.44,0.043,0.69,0.0,0.37,キステ,0.0,-1.09,real,real,yingtao,真语音,A 丢recall证据
182,added,1237.88,1239.67,1.79,9.3,5.0,-12.8,57.8,1.0,0.5,0.011,0.61,0.0,3.13,今日待ってる,0.0,-0.6,real,real,yingtao,真语音,A 丢recall证据
185,added,1254.17,1254.41,0.24,-29.3,-31.7,-53.9,36.8,1.0,0.81,0.167,0.0,0.0,0.23,ご視聴ありがとうございました,0.0,-0.17,hallucination,ambiguous,yingtao,真语音,C 新增已解码
190,added,1270.81,1272.135,1.325,-3.0,-9.8,-13.5,22.3,0.94,0.23,0.039,0.47,0.0,0.0,ああああああああ,0.0,-1.12,hallucination,ambiguous,yingtao,语气词,B 新增未解码待判
197,added,1299.44,1300.915,1.475,-1.7,-7.6,-12.2,36.2,0.99,0.29,0.04,0.53,0.0,0.0,かっ,0.0,-1.22,real,real,yingtao,真语音,A 丢recall证据
205,added,1348.33,1349.2,0.87,-3.4,-9.0,-19.5,42.6,0.1,0.02,0.0,0.2,0.0,0.39,ご視聴ありがとうございました,0.0,-0.2,hallucination,jitter_silero,yingtao,噪声/抖动,F 抖动抽查
208,added,1355.01,1356.61,1.6,-10.6,-13.7,-20.2,38.6,0.38,0.03,0.162,0.56,0.0,1.09,ご視聴ありがとうございました,0.0,-0.33,hallucination,ambiguous,yingtao,幻觉,B 新增未解码待判
212,added,1365.67,1366.17,0.5,-22.7,-25.9,-35.7,40.6,0.03,0.01,0.025,0.0,0.0,0.18,ご視聴ありがとうございました,0.0,-0.14,hallucination,jitter_silero,yingtao,噪声/抖动,F 抖动抽查
215,added,1371.94,1373.98,2.04,7.4,0.4,-11.0,40.2,0.86,0.26,0.063,0.66,0.0,4.31,響いている,0.0,-0.98,real,real,yingtao,真语音,A 丢recall证据
223,empty,82.865,83.59,0.725,17.7,15.9,2.1,22.7,1.0,0.84,0.054,0.0,1.39,1.13,それが,0.0,-0.59,real,real,yingtao,真语音,D empty有文本
224,empty,112.875,113.6,0.725,14.3,11.9,1.4,94.1,1.0,0.74,0.21,0.0,0.83,0.15,へへへ,0.0,-0.19,hallucination,ambiguous,yingtao,语气词,E empty待判
225,empty,119.025,119.7,0.675,14.3,13.3,6.8,94.7,1.0,0.99,0.005,0.0,0.89,0.29,うんうん,0.0,-0.5,filler,ambiguous,yingtao,语气词,E empty待判
227,empty,136.975,137.39,0.415,3.7,2.0,-2.6,47.5,0.99,0.71,0.045,0.0,0.45,0.91,いつも,0.0,-1.07,real,real,yingtao,真语音,D empty有文本
228,empty,178.385,179.9,1.515,5.4,3.4,-1.9,18.3,1.0,0.91,0.049,0.0,0.47,3.82,計算された時が,0.0,-0.2,real,real,yingtao,真语音,D empty有文本
229,empty,193.655,194.86,1.205,4.5,2.9,-7.5,40.3,1.0,0.81,0.046,0.0,1.1,0.61,ザンネルベスガー,0.0,-0.72,real,real,yingtao,真语音,D empty有文本
232,empty,208.075,209.72,1.645,8.0,4.4,-7.2,72.8,0.97,0.56,0.046,0.0,0.22,0.53,きっと大丈夫よ,0.0,-0.21,real,real,yingtao,真语音,D empty有文本
235,empty,257.835,260.62,2.785,17.5,14.7,-9.2,81.1,1.0,0.92,0.013,0.0,0.16,0.12,うんうんうん,0.0,-0.25,hallucination,ambiguous,yingtao,真语音,E empty待判
237,empty,262.145,263.81,1.665,1.4,-6.7,-16.5,62.3,1.0,0.89,0.043,0.0,0.51,0.18,小さな選択一つに,0.0,-0.09,real,real,yingtao,真语音,D empty有文本
240,empty,281.375,282.95,1.575,9.3,0.0,-41.3,106.4,0.43,0.07,0.242,0.0,1.44,0.05,あん,0.0,-1.93,filler,ambiguous,yingtao,语气词,E empty待判
249,empty,354.605,355.14,0.535,-8.1,-10.8,-20.7,19.7,0.89,0.38,0.057,0.0,1.34,0.18,はい。,0.0,-1.36,filler,ambiguous,yingtao,语气词,E empty待判
255,empty,491.085,491.72,0.635,7.3,4.3,-0.8,82.1,1.0,0.92,0.103,0.0,0.1,0.62,だけど…,0.0,-0.49,real,real,yingtao,真语音,D empty有文本
257,empty,543.495,545.06,1.565,10.9,6.8,-1.9,44.9,1.0,0.9,0.021,0.0,0.48,1.36,勝ちどきで奏でよう,0.0,-0.14,real,real,yingtao,真语音,D empty有文本
258,empty,551.625,551.97,0.345,8.2,7.4,-4.4,40.8,0.98,0.68,0.006,0.0,0.89,0.11,うん,0.0,-0.46,filler,ambiguous,yingtao,语气词,E empty待判
271,empty,864.135,865.64,1.505,4.5,-3.6,-30.2,88.0,1.0,0.21,0.151,0.0,0.39,0.53,ああ。,0.0,-0.92,filler,ambiguous,yingtao,语气词,E empty待判
